Date Range,Actual Volatility,Predicted Volatility
2001-06-13 to 2001-06-26,0.0236427,0.02696439999999999
2011-11-10 to 2011-11-23,0.21732149999999972,0.2939641
1984-06-06 to 1984-06-19,0.006473400000000002,0.002287800000000001
1997-06-11 to 1997-06-24,0.004464300000000004,0.0030693000000000027
2001-09-07 to 2001-09-26,0.014375200000000015,0.010993399999999997
2015-08-24 to 2015-09-04,0.6117496000000002,0.44324980000000025
1985-07-01 to 1985-07-15,0.0015623999999999985,0.0010043999999999997
2001-10-25 to 2001-11-07,0.015267900000000001,0.009430600000000016
2023-05-23 to 2023-06-06,2.5839980999999965,3.136003100000002
1991-11-12 to 1991-11-25,0.012276499999999996,0.017732499999999995
2000-01-07 to 2000-01-21,0.06155130000000001,0.035857099999999996
2006-07-05 to 2006-07-18,0.07400000000000007,0.08078569999999999
1991-01-15 to 1991-01-28,0.01953130000000001,0.019589299999999997
1992-11-20 to 1992-12-04,0.012611699999999986,0.0155134
2004-03-30 to 2004-04-13,0.0159285,0.02159590000000001
1984-03-12 to 1984-03-23,0.0035153999999999975,0.0037945000000000006
2009-02-03 to 2009-02-17,0.13464269999999998,0.29146410000000006
2017-06-21 to 2017-07-05,0.4664996000000009,0.7732498000000007
1999-04-23 to 1999-05-06,0.01964290000000001,0.024749
1987-09-18 to 1987-10-01,0.019531200000000006,0.014142599999999995
1990-07-11 to 1990-07-24,0.016852500000000003,0.010714399999999995
1998-02-27 to 1998-03-12,0.009263299999999999,0.015624999999999997
1999-12-09 to 1999-12-22,0.06015619999999999,0.06467619999999999
1998-08-19 to 1998-09-01,0.017243499999999995,0.028571400000000014
1993-07-27 to 1993-08-09,0.011830199999999996,0.009040200000000002
1996-12-18 to 1997-01-02,0.006668499999999999,0.008761300000000003
2020-05-15 to 2020-05-29,2.1157494000000012,2.2487518999999994
1987-10-02 to 1987-10-15,0.054687299999999994,0.015624899999999992
1982-04-05 to 1982-04-19,0.0005581000000000003,0.001506600000000001
1993-09-08 to 1993-09-21,0.008370400000000005,0.006193999999999996
2012-05-04 to 2012-05-17,0.5590356999999994,0.6024643999999999
1992-05-05 to 1992-05-18,0.012834500000000026,0.014174099999999995
2016-10-17 to 2016-10-28,0.5839998999999996,0.5385001000000003
2007-03-23 to 2007-04-05,0.052893099999999915,0.1154640999999998
1997-07-10 to 1997-07-23,0.007826300000000003,0.009654000000000006
1997-11-14 to 1997-11-28,0.006026700000000001,0.003794900000000004
1995-01-26 to 1995-02-08,0.010770100000000005,0.016268100000000008
2022-10-17 to 2022-10-28,5.253997899999996,3.340001200000006
2004-11-16 to 2004-11-30,0.04080360000000003,0.035857099999999996
2020-11-18 to 2020-12-02,2.539000699999997,3.2040031
1990-02-01 to 1990-02-14,0.009375100000000003,0.010825999999999997
1988-12-22 to 1989-01-06,0.0125,0.008785800000000005
1990-03-02 to 1990-03-15,0.013504600000000005,0.0118307
2010-11-30 to 2010-12-13,0.10160710000000037,0.18985709999999986
1984-10-26 to 1984-11-08,0.0031808,0.009709999999999996
1999-05-21 to 1999-06-04,0.014397399999999994,0.016127100000000005
2023-04-25 to 2023-05-08,2.0509995000000005,3.5300033999999956
2012-06-04 to 2012-06-15,0.3213213000000003,0.3788215000000005
2007-01-25 to 2007-02-07,0.06107129999999996,0.1173215
2005-06-22 to 2005-07-06,0.0380714,0.06771440000000002
1992-09-11 to 1992-09-24,0.0135046,0.012611500000000003
2015-06-26 to 2015-07-10,0.478000299999999,0.46174950000000015
1993-09-22 to 1993-10-05,0.009709800000000001,0.011383899999999992
1997-09-05 to 1997-09-18,0.005636400000000002,0.005971000000000004
1987-01-16 to 1987-01-29,0.008816800000000003,0.004952700000000002
1994-12-28 to 1995-01-11,0.01540169999999999,0.009821100000000004
2019-07-31 to 2019-08-13,1.0577503999999975,0.8775008999999997
2011-07-06 to 2011-07-19,0.3075357000000002,0.28260710000000006
2019-04-22 to 2019-05-03,1.275999,0.9005002000000004
1997-03-03 to 1997-03-14,0.008747300000000003,0.0030693000000000027
2005-02-28 to 2005-03-11,0.03910720000000001,0.031535599999999976
2012-11-09 to 2012-11-23,0.5856784999999999,0.36103549999999984
